student_id,county,age,female,race
1,1,21,0,1
2,1,25,1,1
3,1,30,1,1
4,1,21,1,1
5,1,26,1,1
6,1,37,1,1
7,1,34,1,1
8,1,20,1,1
9,1,25,0,1
10,1,23,1,1
11,1,19,1,1
12,1,32,0,1
13,1,23,1,1
14,1,25,1,1
15,1,35,1,1
16,1,29,0,1
17,1,23,0,1
18,1,27,1,1
19,1,21,1,1
20,1,25,0,1
21,1,40,1,1
22,1,22,1,1
23,1,22,0,1
24,1,24,1,1
25,1,34,0,1
26,1,33,0,1
27,1,26,0,1
28,1,31,1,1
29,1,32,1,1
30,1,28,0,1
31,1,27,1,1
32,1,29,0,1
33,1,32,0,1
34,1,24,1,1
35,1,21,0,1
36,1,22,0,1
37,1,26,1,1
38,1,36,0,1
39,1,38,0,1
40,1,38,0,1
41,1,37,1,1
42,1,21,1,1
43,1,38,0,1
44,1,39,0,1
45,1,34,0,1
46,1,22,0,1
47,1,28,0,1
48,1,37,1,1
49,1,18,1,1
50,1,18,0,1
51,1,23,1,1
52,1,20,0,1
53,1,33,1,1
54,1,24,0,1
55,1,20,1,1
56,1,18,0,1
57,1,36,0,1
58,1,39,1,1
59,1,32,0,1
60,1,24,1,1
61,1,29,0,1
62,1,22,0,1
63,1,27,1,1
64,1,19,1,1
65,1,20,0,1
66,1,39,0,1
67,1,20,0,1
68,1,35,1,1
69,1,30,1,1
70,1,24,0,1
71,1,24,1,1
72,1,30,1,1
73,1,28,0,1
74,1,23,0,1
75,1,23,1,1
76,1,40,0,1
77,1,26,0,1
78,1,37,1,1
79,1,37,1,1
80,1,22,1,1
81,1,40,1,1
82,1,37,0,1
83,1,23,1,1
84,1,36,0,1
85,1,29,0,1
86,1,29,0,1
87,1,26,0,1
88,1,30,1,1
89,1,35,0,1
90,1,25,0,1
91,1,36,1,1
92,1,24,0,1
93,1,23,0,1
94,1,24,1,1
95,1,35,1,1
96,1,29,1,1
97,1,25,0,1
98,1,30,0,1
99,1,31,1,1
100,1,39,1,1
101,1,23,1,1
102,1,19,0,1
103,1,21,0,1
104,1,18,1,1
105,1,26,0,1
106,1,36,1,1
107,1,33,1,1
108,1,27,1,1
109,1,29,1,1
110,1,33,0,1
111,1,31,0,1
112,1,34,0,1
113,1,35,0,1
114,1,31,1,1
115,1,23,0,1
116,1,40,1,1
117,1,34,0,1
118,1,32,0,1
119,1,37,0,1
120,1,33,1,1
121,1,31,1,1
122,1,39,0,1
123,1,26,0,1
124,1,38,1,1
125,1,26,1,1
126,1,21,1,1
127,1,25,1,1
128,1,28,0,1
129,1,23,1,1
130,1,30,1,1
131,1,21,1,1
132,1,34,1,1
133,1,24,1,1
134,1,24,0,1
135,1,30,0,1
136,1,33,0,1
137,1,35,1,1
138,1,20,1,1
139,1,21,1,1
140,1,33,0,1
141,1,39,1,1
142,1,39,1,1
143,1,29,1,1
144,1,21,0,1
145,1,28,1,1
146,1,33,1,1
147,1,40,1,1
148,1,34,0,1
149,1,29,1,1
150,1,28,1,1
151,1,19,0,1
152,1,26,0,1
153,1,40,0,1
154,1,24,0,1
155,1,29,0,1
156,1,31,1,1
157,1,37,1,1
158,1,26,1,1
159,1,36,1,1
160,1,24,0,1
161,1,39,1,1
