student_id,variable,value
1,age,33
1,county,2
1,male,0
1,race,1
2,age,37
2,county,2
2,male,1
2,race,1
3,age,36
3,county,2
3,male,0
3,race,1
4,age,37
4,county,2
4,male,0
4,race,1
5,age,25
5,county,2
5,male,1
5,race,1
6,age,24
6,county,2
6,male,0
6,race,1
7,age,19
7,county,2
7,male,1
7,race,1
8,age,27
8,county,2
8,male,1
8,race,1
9,age,31
9,county,2
9,male,0
9,race,1
10,age,30
10,county,2
10,male,0
10,race,1
11,age,34
11,county,2
11,male,1
11,race,1
12,age,36
12,county,2
12,male,1
12,race,1
13,age,31
13,county,2
13,male,1
13,race,1
14,age,22
14,county,2
14,male,0
14,race,1
15,age,20
15,county,2
15,male,1
15,race,1
16,age,22
16,county,2
16,male,0
16,race,1
17,age,35
17,county,2
17,male,0
17,race,1
18,age,19
18,county,2
18,male,1
18,race,1
19,age,25
19,county,2
19,male,0
19,race,1
20,age,27
20,county,2
20,male,0
20,race,1
21,age,24
21,county,2
21,male,0
21,race,1
22,age,35
22,county,2
22,male,1
22,race,1
23,age,25
23,county,2
23,male,0
23,race,1
24,age,32
24,county,2
24,male,0
24,race,1
25,age,31
25,county,2
25,male,1
25,race,1
26,age,23
26,county,2
26,male,1
26,race,1
27,age,28
27,county,2
27,male,1
27,race,1
28,age,40
28,county,2
28,male,0
28,race,1
29,age,24
29,county,2
29,male,0
29,race,1
30,age,26
30,county,2
30,male,1
30,race,1
31,age,18
31,county,2
31,male,0
31,race,1
32,age,24
32,county,2
32,male,1
32,race,1
33,age,37
33,county,2
33,male,0
33,race,1
34,age,22
34,county,2
34,male,1
34,race,1
35,age,28
35,county,2
35,male,0
35,race,1
36,age,34
36,county,2
36,male,1
36,race,1
37,age,32
37,county,2
37,male,1
37,race,1
38,age,18
38,county,2
38,male,1
38,race,1
39,age,33
39,county,2
39,male,1
39,race,1
40,age,32
40,county,2
40,male,1
40,race,1
41,age,31
41,county,2
41,male,0
41,race,1
42,age,20
42,county,2
42,male,0
42,race,1
43,age,24
43,county,2
43,male,0
43,race,1
44,age,23
44,county,2
44,male,1
44,race,1
45,age,35
45,county,2
45,male,0
45,race,1
46,age,28
46,county,2
46,male,0
46,race,1
47,age,26
47,county,2
47,male,0
47,race,1
48,age,21
48,county,2
48,male,1
48,race,1
49,age,32
49,county,2
49,male,0
49,race,1
50,age,34
50,county,2
50,male,0
50,race,1
51,age,24
51,county,2
51,male,1
51,race,1
52,age,27
52,county,2
52,male,0
52,race,1
53,age,39
53,county,2
53,male,1
53,race,1
54,age,27
54,county,2
54,male,0
54,race,1
55,age,33
55,county,2
55,male,0
55,race,1
56,age,28
56,county,2
56,male,0
56,race,1
57,age,35
57,county,2
57,male,1
57,race,1
58,age,36
58,county,2
58,male,0
58,race,1
59,age,23
59,county,2
59,male,1
59,race,1
60,age,31
60,county,2
60,male,1
60,race,1
61,age,29
61,county,2
61,male,1
61,race,1
62,age,30
62,county,2
62,male,1
62,race,1
63,age,39
63,county,2
63,male,1
63,race,1
64,age,25
64,county,2
64,male,1
64,race,1
65,age,20
65,county,2
65,male,0
65,race,1
66,age,29
66,county,2
66,male,1
66,race,1
67,age,26
67,county,2
67,male,0
67,race,1
68,age,28
68,county,2
68,male,1
68,race,1
69,age,40
69,county,2
69,male,0
69,race,1
70,age,28
70,county,2
70,male,1
70,race,1
71,age,24
71,county,2
71,male,0
71,race,1
72,age,21
72,county,2
72,male,1
72,race,1
73,age,21
73,county,2
73,male,1
73,race,1
74,age,36
74,county,2
74,male,1
74,race,1
75,age,28
